Naslov,Avtor,Leta izida,Dolžina,Točke,Ocena,Število bralcev
Darker Than You Think,Jack Williamson,1940,266,292,3.51,1467
"Land of Terror (Pellucidar, #6)",Edgar Rice Burroughs,1944,352,284,3.69,654
"Mary Poppins Opens the Door (Mary Poppins, #3)",P.L. Travers,1943,288,280,4.07,8551
The Great Divorce,C.S. Lewis,1946,146,268,4.31,154772
"Tarzan and the Foreign Legion (Tarzan, #22)",Edgar Rice Burroughs,1947,314,265,3.75,1026
Portrait of Jennie,Robert Nathan,1940,124,255,4.03,1282
The White Deer,James Thurber,1945,132,250,4.11,480
Conjure Wife,Fritz Leiber,1943,188,197,3.8,2568
"The Moomins and the Great Flood (The Moomins, #1)",Tove Jansson,1945,52,187,4.03,18256
No Exit,Jean-Paul Sartre,1944,60,183,4.12,40145
Seven Days in New Crete,Robert Graves,1949,,177,3.42,256
The Little Grey Men,B.B.,1942,245,176,4.12,1579
The Well of the Unicorn,Fletcher Pratt,1948,388,172,3.41,867
The Wonder City of Oz,John R. Neill,1940,318,161,3.44,73
The Sorcerer's Ship,Hannes Bok,1942,205,156,3.25,81
The Adventures of Superman,George Lowther,1942,215,100,3.7,128
The Black Wheel,A. Merritt,1947,296,99,3.03,31
"Doctor Dolittle and the Secret Lake (Doctor Dolittle, #10)",Hugh Lofting,1948,,95,4.08,269
The Littlest Angel,Charles Tazewell,,,94,4.28,6157
Lucky Bucky in Oz,John R. Neill,1942,289,89,3.46,61
The Lurker at the Threshold,August Derleth,1945,196,88,3.85,1984
The Magical Mimics in Oz: Empty-Grave Retrofit Edition,Jack Snow,1946,292,87,4.0,86
The Man Who Went Back,Warwick Deeping,1940,382,86,2.33,6
The Remarkable Andrew,Dalton Trumbo,1941,350,82,3.17,6
The Scalawagons of Oz,John R. Neill,1941,309,81,3.3,53
The Shaggy Man of Oz,Jack Snow,1949,255,78,3.92,79
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954,398,7350,4.39,2845102
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,206,6133,4.24,2848164
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,1954,322,6078,4.49,992726
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,1955,404,5961,4.57,924818
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,1955,221,3520,4.05,551176
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,1954,224,3345,3.91,357615
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,1952,248,3121,4.09,475999
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,1956,288,2806,4.01,281178
"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,1953,243,2775,3.95,303020
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,1951,240,2689,3.98,445941
The Lord of the Rings,J.R.R. Tolkien,1954,1216,2456,4.53,685215
"The Once and Future King (The Once and Future King, #1-4)",T.H. White,1958,639,2101,4.07,109171
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,1956,767,1857,4.28,659853
I Am Legend,Richard Matheson,1954,160,1407,4.06,135445
"The Borrowers (The Borrowers, #1)",Mary Norton,1952,180,1390,4.03,98121
