Naslov,Avtor,Leto izida,Dolžina,Točke,Ocena,Število bralcev
"Knight's Castle (Tales of Magic, #2)",Edward Eager,1956,198,168,4.04,5457
The Cloven Viscount,Italo Calvino,1952,106,165,3.82,27113
The Nonexistent Knight,Italo Calvino,1959,146,163,3.83,22043
The Blue Star,Fletcher Pratt,1952,240,145,3.14,185
Monus de man van de maan,A.D. Hildebrand,1952,165,100,3.0,5
Travel Light,Naomi Mitchison,1952,135,94,3.73,3172
Galaxy of Ghouls,Judith Merril,1955,192,94,3.7,10
"Doctor Dolittle and the Green Canary (Doctor Dolittle, #11)",Hugh Lofting,1950,288,91,3.99,426
"Doctor Dolittle's Puddleby Adventures (Doctor Dolittle, #12)",Hugh Lofting,1966,256,90,3.9,258
Duel,Richard Matheson,1971,400,87,4.03,2465
"The Hidden Valley of Oz (Oz, Book 39)",Rachel R. Cosgrove,,1,84,3.31,36
Pincher Martin,William Golding,1956,216,81,3.55,2396
The Return of Conan,Björn Nyberg,1957,191,80,3.72,32
The Strange Case of Mr. Pelham,Anthony Armstrong,1957,224,77,3.32,22
THE TRITONIAN RING,L. Sprague de Camp,1953,212,75,3.28,211
The Year the Yankees Lost the Pennant,Douglass Wallop,1954,258,74,3.99,281
Tales from Gavagan's Bar,L. Sprague de Camp,1953,277,73,3.74,261
The Hand of Zei,L. Sprague de Camp,1950,276,72,3.38,119
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,1968,183,4526,4.01,324442
"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,1968,294,3348,4.16,112832
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,1962,211,3332,3.98,1216856
The Phantom Tollbooth,Norton Juster,1961,248,3238,4.2,290610
James and the Giant Peach,Roald Dahl,1961,176,2981,4.03,480986
Where the Wild Things Are,Maurice Sendak,1963,38,2944,4.25,1013799
"The Book of Three (The Chronicles of Prydain, #1)",Lloyd Alexander,1964,190,2396,3.98,79899
"The Black Cauldron (The Chronicles of Prydain, #2)",Lloyd Alexander,1965,182,2175,4.12,65012
"The High King (The Chronicles of Prydain, #5)",Lloyd Alexander,1968,253,1371,4.24,55063
"Over Sea, Under Stone (The Dark is Rising, #1)",Susan Cooper,1965,196,1344,3.86,53578
"Witch World (Witch World Series 1: Estcarp Cycle, #1)",Andre Norton,1963,288,1243,3.8,4919
"Dragonflight (Pern: Dragonriders of Pern, #1)",Anne McCaffrey,1968,303,1167,4.09,138395
"Taran Wanderer (The Chronicles of Prydain, #4)",Lloyd Alexander,1967,222,912,4.14,42028
"The Castle of Llyr (The Chronicles of Prydain, #3)",Lloyd Alexander,1966,174,806,4.07,38270
"The Jewel in the Skull (History of the Runestaff, #1)",Michael Moorcock,1967,156,772,3.85,3616
Smith of Wootton Major,J.R.R. Tolkien,1967,149,708,3.9,5496
"Stormbringer (The Elric Saga, #6)",Michael Moorcock,1965,220,694,4.18,9957
The Master and Margarita,Mikhail Bulgakov,1967,372,686,4.29,363781
Conan (Book 1),Robert E. Howard,1967,221,673,4.08,6902
"The Weirdstone of Brisingamen (Tales of Alderley, #1)",Alan Garner,1960,268,665,3.94,8120
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,1964,176,665,4.16,863550
"The Sword of the Dawn (History of the Runestaff, #3)",Michael Moorcock,1968,144,572,3.85,2315
Conan of Cimmeria (Conan 2),Robert E. Howard,1969,189,564,4.11,4991
