Naslov,Avtor,Leto izida,Dolžina,Točke,Ocena,Število bralcev 
"The Dragon Revenant (Deverry, #4)",Katharine Kerr,1990,396,243,4.1,6617
"Legend (Drenai Tales, #1)",David Gemmell,1984,432,241,4.26,33140
"Secret of the Sixth Magic (Magics, #2)",Lyndon Hardy,1984,394,240,3.7,1676
"Night Mare (Xanth, #6)",Piers Anthony,1982,320,238,3.85,18589
"The Crystal Palace (The Book of Elementals, #2)",Phyllis Eisenstein,1988,382,237,3.7,295
Ghost King  (Stones of Power #1),David Gemmell,1988,336,234,4.0,4110
"The First Book of Swords (Books of Swords, #1)",Fred Saberhagen,1983,320,231,3.8,7370
"Blue Adept (Apprentice Adept, #2)",Piers Anthony,1981,336,228,3.96,14152
"Juxtaposition (Apprentice Adept, #3)",Piers Anthony,1982,368,227,3.94,12289
"Riddle of the Seven Realms (Magics, #3)",Lyndon Hardy,1988,403,214,3.66,890
"Damiano (Damiano, #1)",R.A. MacAvoy,1984,243,212,3.83,1222
"The Patrimony (Horseclans, #6)",Robert   Adams,1980,,201,3.88,425
Wyvern,A.A. Attanasio,1988,704,195,4.17,529
"Oath of Gold (The Deed of Paksenarrion, #3)",Elizabeth Moon,1989,501,194,4.27,7692
"The Fortress of the Pearl (The Elric Saga, #8)",Michael Moorcock,1989,212,194,3.78,4962
"The Dark Portal (The Deptford Mice, #1)",Robin Jarvis,1989,243,193,3.82,2543
"Morigu: The Desecration (Morigu, #1)",Mark C. Perry,1986,324,192,4.32,82
City At The Edge Of Time,Janet E. Morris,1988,324,192,4.11,89
"In Yana, the Touch of Undying",Michael   Shea,1985,1,191,4.03,178
Batman: The Dark Knight Returns,Frank Miller,1986,197,190,4.26,188617
"Windmaster's Bane (David Sullivan, #1)",Tom Deitz,1986,279,189,4.01,478
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,1988,307,186,4.04,86931
"The Awakeners: Northshore & Southshore (The Awakeners, #1-2)",Sheri S. Tepper,1987,512,185,3.81,1038
The Mistress of the Jewels (Westria 1 & 2),Diana L. Paxson,1982,503,183,3.52,103
The Girl with the Silver Eyes,Willo Davis Roberts,1980,198,181,4.02,10548
The Indian in the Cupboard,Lynne Reid Banks,1980,181,181,3.93,106377
A Tapestry of Magics,Brian Daley,1980,289,179,3.71,139
Hershel and the Hanukkah Goblins,Eric A. Kimmel,1989,32,177,4.32,3229
The Homeward Bounders,Diana Wynne Jones,1981,224,175,3.93,4309
Behind the Attic Wall,Sylvia Cassedy,1982,320,167,4.06,5848
"Wayside School Is Falling Down (Wayside School, #2)",Louis Sachar,1989,152,166,4.17,60397
The Four Seasons of Brambly Hedge,Jill Barklem,1988,144,166,4.56,674
"The Third Book of Swords (Books of Swords, #3)",Fred Saberhagen,1984,323,164,3.87,2742
Song of Kali,Dan Simmons,1985,311,161,3.61,14308
Six of Swords,Carole Nelson Douglas,1982,276,160,3.61,1243
Those Who Hunt the Night (James Asher #1),Barbara Hambly,1988,350,158,3.87,4926
"Damiano's Lute (Damiano, #2)",R.A. MacAvoy,1984,254,157,3.87,651
The Vampire Tapestry,Suzy McKee Charnas,1980,285,156,3.59,2377
The Grey Horse,R.A. MacAvoy,1987,248,150,3.99,868
"The Horse Lord (Book of Years, # 1)",Peter Morwood,1983,1,147,3.94,556
Jirel of Joiry,C.L. Moore,1934,212,146,3.73,1460
"The Paladin of the Night (Rose of the Prophet, #2)",Margaret Weis,1989,375,144,3.89,4274
Kill the Dead,Tanith Lee,1980,172,142,3.94,521
"The Prophet of Akhran (Rose of the Prophet, #3)",Margaret Weis,1989,384,142,3.9,3529
The Particolored Unicorn,Jon DeCles,1987,230,124,3.52,95
The Maze in the Heart of the Castle,Dorothy Gilman,1983,230,122,3.94,546
A Spell of Deceit,Laurie Goodman,1989,344,121,3.35,17
"Tea with the Black Dragon (Black Dragon, #1)",R.A. MacAvoy,1983,166,111,3.95,5161
The Infinity Concerto,Greg Bear,1984,342,107,3.88,1245
The Bridge,Iain Banks,1986,288,100,3.86,12162
"The Novels of Tiger and Del, Volume I (Tiger and Del, #1-2)",Jennifer Roberson,2001,688,100,4.11,494
Voice of Our Shadow,Jonathan Carroll,1983,189,99,3.78,1429
Erik Menneskesøn (Erik Menneskesøn #1),Lars-Henrik Olsen,1986,392,99,4.02,1457
"The Crystal Prison (The Deptford Mice, #2)",Robin Jarvis,1994,256,99,4.02,1317
Kalpa Imperial. Libro II: El imperio más vasto,Angélica Gorodischer,1984,185,98,4.02,100
Silverhair The Wanderer (Westria #3),Diana L. Paxson,1986,310,98,3.7,60
Flower Fairies of the Winter,Cicely Mary Barker,1990,48,98,4.34,531
Cats Have No Lord,Will Shetterly,1985,225,97,3.47,211
Kalpa Imperial. Libro I: La casa del poder,Angélica Gorodischer,1983,155,97,3.9,228
"The Darwath Trilogy: The Time of the Dark, The Walls of Air, and The Armies of Daylight",Barbara Hambly,1986,1036,97,4.34,725
"Märchenmond (Märchenmond, #1)",Wolfgang Hohlbein,1983,395,97,3.88,2601
The Further Adventures of Gobbolino and the Little Wooden Horse,Ursula Moray Williams,1984,230,97,4.38,97
Lyrec,Gregory Frost,1984,267,95,3.3,86
"Who Censored Roger Rabbit? (Roger Rabbit, #1)",Gary K. Wolf,1981,218,95,3.71,3629
The Breathing Method,Stephen King,1999,3,95,3.64,2820
The Loathsome Dragon,David Wiesner,1987,32,93,3.65,448
"Guinevere (Guinevere, #1)",Sharan Newman,1980,257,93,3.8,660
The Dragon of Og,Rumer Godden,1981,61,93,4.04,113
"The King's Justice (The Histories of King Kelson, #2)",Katherine Kurtz,1985,322,89,4.13,3338
"The Quest for Saint Camber (The Histories of King Kelson, #3)",Katherine Kurtz,1986,451,88,4.08,3880
The Infinity Concerto,Greg Bear,1984,449,87,3.88,1245
"Stonecutter's Story (Lost Swords, #3)",Fred Saberhagen,1988,247,81,3.8,2446
"The Second Book of Lost Swords: Sightblinder's Story (Lost Swords, #2)",Fred Saberhagen,1987,248,80,3.79,2356
"Queenmagic, Kingmagic",Ian  Watson,1986,205,75,3.15,61
The Book of the River,Ian  Watson,1984,240,74,3.46,85
Heroing,Dafydd ab Hugh,1987,344,68,3.12,59
"The Hounds of God (The Hound and the Falcon, #3)",Judith Tarr,1986,352,64,4.1,516
"The Golden Horn (The Hound and the Falcon, #2)",Judith Tarr,1985,262,63,4.03,612
"The Isle of Glass (The Hound and the Falcon, #1)",Judith Tarr,1985,276,62,3.95,1055
"Alamut (Alamut, #1)",Judith Tarr,1989,470,61,3.95,711
"Raphael (Damiano, #3)",R.A. MacAvoy,1984,230,60,3.8,616
"The Warlord's Domain (Book of Years, No 4)",Peter Morwood,1990,304,58,3.67,128
Alpha Centauri,Robert Siegel,1980,256,58,3.79,121
"The Dragon Lord (Book of Years, # 3)",Peter Morwood,1986,304,57,3.95,261
"In the Sea Nymph's Lair (After the Spell Wars, #2)",F.J. Hale,1989,209,57,3.24,17
"Coinspinner's Story (Lost Swords, #5)",Fred Saberhagen,1989,244,55,3.9,1802
"Twisting the Rope (Black Dragon, #2)",R.A. MacAvoy,1986,242,55,3.67,745
The Third Eagle,R.A. MacAvoy,1989,261,54,3.37,178
"Woundhealer's Story (Lost Swords, #1)",Fred Saberhagen,1986,281,53,3.78,3133
"Delusion's Master (Flat Earth, #3)",Tanith Lee,1981,208,52,4.18,1029
"Farslayer's Story (Lost Swords, #4)",Fred Saberhagen,1988,252,51,3.84,1947
"Sabella, or The Blood Stone",Tanith Lee,1980,157,51,3.85,744
Cyrion,Tanith Lee,1982,,50,3.94,319
"The Hall of the Mountain King (Avaryan Rising, #1)",Judith Tarr,1986,278,49,3.79,325
The Demon Lord,Morwood,1988,304,48,3.99,297
Mustapha and His Wise Dog (Twelve Kingdoms #1),Esther M. Friesner,1985,175,48,3.87,52
Spells of Mortal Weaving,Esther M. Friesner,1986,224,47,3.74,27
"Castledown (Tredana, #2)",Joyce Ballou Gregorian,1983,332,46,4.14,104
"The Great Wheel (Tredana, #3)",Joyce Ballou Gregorian,1987,308,45,4.07,81
"The Enchantments of Flesh and Spirit (Wraeththu, #1)",Storm Constantine,1987,320,44,3.88,1463
"Marianne, the Matchbox and the Malachite Mouse (Marianne, #3)",Sheri S. Tepper,1989,167,43,4.01,274
"Marianne, the Madame, and the Momentary Gods (Marianne, #2)",Sheri S. Tepper,1988,170,42,4.02,269
"Marianne, the Magus, and the Manticore (Marianne, #1)",Sheri S. Tepper,1985,193,41,3.92,428
"The Song of Mavin Manyshaped (The Chronicles of Mavin Manyshaped, #1)",Sheri S. Tepper,1985,183,40,4.09,1023
"The Chronicles of Mavin Manyshaped (The Chronicles of Mavin Manyshaped, #1-3)",Sheri S. Tepper,1986,463,39,4.28,358
"The Search of Mavin Manyshaped (The Chronicles of Mavin Manyshaped, #3)",Sheri S. Tepper,1985,168,38,4.09,624
"Jinian Star-Eye (The End of the Game, #3)",Sheri S. Tepper,1986,239,37,4.06,705
"The Flight of Mavin Manyshaped (The Chronicles of Mavin Manyshaped, #2)",Sheri S. Tepper,1985,192,36,4.14,754
"Jinian Footseer (The End of the Game, #1)",Sheri S. Tepper,1985,284,35,4.09,913
The Revenants,Sheri S. Tepper,1984,342,34,3.68,539
"Nightpool (Dragonbards, #1)",Shirley Rousseau Murphy,1985,250,27,4.07,250
"Castle Spellbound (Castle Perilous, #7)",John DeChancie,1992,227,23,3.81,310
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,1997,309,25663,4.47,10271334
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996,835,24076,4.44,2530213
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,1990,800,21596,4.19,540736
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,1999,435,14291,4.58,4291784
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,1998,352,14137,4.43,4017607
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1995,399,11587,4.02,1541979
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,1998,1009,11426,4.42,949597
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,1995,460,10521,4.18,336924
"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,1990,705,9286,4.26,324559
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,1990,491,9004,4.26,765817
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,1994,836,8590,4.12,250177
"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,1991,624,8206,4.27,296272
"Neverwhere (London Below, #1)",Neil Gaiman,1996,370,8171,4.17,538319
"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,1992,1007,7599,4.28,238282
Stardust,Neil Gaiman,1999,248,7057,4.1,463225
Tigana,Guy Gavriel Kay,1990,676,6894,4.09,48971
"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,1994,1011,5955,4.19,179183
"A Crown of Swords (The Wheel of Time, #7)",Robert Jordan,1996,880,5555,4.06,170588
"The Fires of Heaven (The Wheel of Time, #5)",Robert Jordan,1993,912,5303,4.2,192615
"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,1999,666,5234,3.92,122254
"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,1999,554,4839,4.28,66501
"Sabriel (Abhorsen,  #1)",Garth Nix,1995,491,4765,4.17,210260
"Stone of Farewell (Memory, Sorrow, and Thorn, #2)",Tad Williams,1990,608,4307,4.1,49650
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,1997,232,4258,4.01,415327
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,1997,326,4234,4.15,439851
"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb,1997,757,4196,4.2,163579
"The Path of Daggers (The Wheel of Time, #8)",Robert Jordan,1998,685,4043,3.93,147778
"The Diamond Throne (The Elenium, #1)",David Eddings,1989,435,3940,3.97,35485
"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,1996,752,3895,4.27,204422
"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",Timothy Zahn,1991,404,3733,4.17,94017
"Ship of Magic (Liveship Traders, #1)",Robin Hobb,1998,880,3717,4.21,86820
"Small Gods (Discworld, #13)",Terry Pratchett,1992,389,3021,4.32,123629
"Wizard and Glass (The Dark Tower, #4)",Stephen King,1997,845,3000,4.26,202801
The Lions of Al-Rassan,Guy Gavriel Kay,1995,528,2907,4.3,23548
"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,1995,703,2820,4.11,114302
"To Green Angel Tower (Memory, Sorrow, and Thorn, #3)",Tad Williams,1993,1083,2787,4.2,35827
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,1995,406,2647,3.54,601134
"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,1990,281,2612,4.04,51894
"The Masterharper of Pern (Pern, #14)",Anne McCaffrey,1998,463,2479,4.26,25001
"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,1990,240,2472,4.16,91595
"Jingo (Discworld, #21; City Watch, #4)",Terry Pratchett,1997,461,2467,4.18,67720
Belgarath the Sorcerer,David Eddings,1995,736,2449,4.1,75436
"Reaper Man (Discworld, #11; Death, #2)",Terry Pratchett,1991,289,2424,4.28,103833
"Feet of Clay (Discworld, #19; City Watch, #3)",Terry Pratchett,1996,411,2421,4.32,85875
"Witches Abroad (Discworld, #12; Witches, #3)",Terry Pratchett,1991,374,2401,4.25,90884
Polgara the Sorceress,David Eddings,1997,754,2326,4.12,30153
"King's Dragon (Crown of Stars, #1)",Kate Elliott,1997,636,2298,3.81,9372
"The Fifth Elephant (Discworld, #24; City Watch, #5)",Terry Pratchett,1999,464,2294,4.3,74343
"Lords and Ladies (Discworld, #14; Witches, #4)",Terry Pratchett,1992,352,2288,4.2,80622
"His Dark Materials (His Dark Materials, #1-3)",Philip Pullman,2000,933,2218,4.29,162824
"By the Sword (Valdemar, #9)",Mercedes Lackey,1991,492,2135,4.27,21139
"The Magic of Recluce (The Saga of Recluce, #1)",L.E. Modesitt Jr.,1991,501,2046,3.86,24978
"The Waste Lands (The Dark Tower, #3)",Stephen King,1991,590,2022,4.25,226627
"Soul Music (Discworld, #16; Death, #3)",Terry Pratchett,1994,288,2018,4.05,80804
"The Scions of Shannara (Heritage of Shannara, #1)",Terry Brooks,1990,512,1957,4.0,33334
"The Elf Queen of Shannara (Heritage of Shannara, #3)",Terry Brooks,1992,416,1956,4.05,31999
"Daughter of the Blood (The Black Jewels, #1)",Anne Bishop,1998,412,1783,4.06,41184
"Black Sun Rising (The Coldfire Trilogy, #1)",C.S. Friedman,1991,496,1781,3.94,18979
"The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3)",Elizabeth Moon,1992,1040,1774,4.32,13665
Deerskin,Robin McKinley,1993,384,1632,3.93,23257
"The Talismans of Shannara (Heritage of Shannara, #4)",Terry Brooks,1993,440,1583,4.04,40122
"The Towers of the Sunset (The Saga of Recluce, #2)",L.E. Modesitt Jr.,1992,536,1421,3.93,10206
"Castle in the Air (Howl's Moving Castle, #2)",Diana Wynne Jones,1990,400,1339,3.87,58734
"Shadow of a Dark Queen (The Serpentwar Saga, #1)",Raymond E. Feist,1994,497,1306,4.08,30285
"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,1996,280,1280,3.85,88031
"Dark Lord of Derkholm (Derkholm, #1)",Diana Wynne Jones,1998,328,1260,4.11,17312
"The King's Buccaneer (Krondor's Sons, #2)",Raymond E. Feist,1992,523,1213,4.07,25010
"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,1993,384,1210,4.13,363012
The Book of Atrix Wolfe,Patricia A. McKillip,1995,250,1200,3.99,3941
"Rise of a Merchant Prince (The Serpentwar Saga, #2)",Raymond E. Feist,1995,479,1187,4.08,29714
"Luck in the Shadows (Nightrunner, #1)",Lynn Flewelling,1996,479,1180,4.09,22105
"Prince of Dogs (Crown of Stars, #2)",Kate Elliot,1998,612,1155,3.92,7268
"The Magic Engineer (The Saga of Recluce, #3)",L.E. Modesitt Jr.,1994,617,1150,4.04,10235
"Rhapsody: Child of Blood (Symphony of Ages, #1)",Elizabeth Haydon,1999,656,1123,3.97,19897
"To Green Angel Tower, Part 2 (Memory, Sorrow, and Thorn, #3; Part 2)",Tad Williams,1993,815,1090,4.22,23410
"The Curse of the Mistwraith (Wars of Light and Shadow, #1)",Janny Wurts,1993,830,1066,3.77,5919
Beauty,Sheri S. Tepper,1991,463,1026,3.84,5870
"The Sorceress and the Cygnet (Cygnet, #1)",Patricia A. McKillip,1990,231,1025,3.91,1689
"Mairelon the Magician (Mairelon, #1)",Patricia C. Wrede,1991,288,1015,3.99,8909
"Wild Magic (Immortals, #1)",Tamora Pierce,1992,362,996,4.31,80729
"Heir to the Shadows (The Black Jewels, #2)",Anne Bishop,1999,482,990,4.32,28105
"Wolf-Speaker (Immortals, #2)",Tamora Pierce,1993,344,986,4.21,59089
"Emperor Mage (Immortals, #3)",Tamora Pierce,1995,358,975,4.28,64122
"Winter Rose (Winter Rose, #1)",Patricia A. McKillip,1996,262,962,3.85,7450
"Sandry's Book (Circle of Magic, #1)",Tamora Pierce,1997,252,946,4.03,43755
"To Green Angel Tower, Part 1 (Memory, Sorrow, and Thorn, #3; Part 1)",Tad Williams,1994,815,928,4.21,19222
"The Phoenix Guards (Khaavren Romances, #1)",Steven Brust,1991,491,906,4.09,5192
Rose Daughter,Robin McKinley,1997,304,905,3.79,21083
"Green Rider (Green Rider, #1)",Kristen Britain,1998,471,903,4.08,38699
"Krondor: The Betrayal (The Riftwar Legacy, #1)",Raymond E. Feist,1998,415,894,3.89,15920
"The Dark Hand of Magic (Sun Wolf and Starhawk, #3)",Barbara Hambly,1990,423,886,3.83,1548
Tam Lin,Pamela Dean,1991,468,871,3.84,5747
"Bone, Vol. 1: Out from Boneville (Bone, #1)",Jeff Smith,1991,138,851,4.19,88914
"Jaran (Jaran, #1)",Kate Elliott,1992,496,832,3.95,2824
"Into the Land of the Unicorns (The Unicorn Chronicles, #1)",Bruce Coville,1994,176,832,4.08,18782
The Thief of Always,Clive Barker,1992,225,830,4.21,34167
"The Realms of the Gods (Immortals, #4)",Tamora Pierce,1996,347,829,4.32,56650
Song for the Basilisk,Patricia A. McKillip,1998,320,819,4.01,2686
"Rage of a Demon King (The Serpentwar Saga, #3)",Raymond E. Feist,1997,436,819,4.08,26734
"Krondor: The Assassins (The Riftwar Legacy, #2)",Raymond E. Feist,1999,350,804,3.91,13579
"The First Chronicles of Druss the Legend (The Drenai Saga, #6)",David Gemmell,1993,334,799,4.36,12153
The Ruby Knight (The Elenium #2),David Eddings,,,770,4.0,32396
"The Sapphire Rose (The Elenium, #3)",David Eddings,1991,467,763,4.02,29999
Deep Secret,Diana Wynne Jones,1997,384,737,4.11,6618
"Shards of a Broken Crown (The Serpentwar Saga, #4)",Raymond E. Feist,1998,498,731,4.05,22775
The Barbed Coil,J.V. Jones,1997,667,719,3.92,2540
Enchantment: A Classic Fantasy with a Modern Twist,Orson Scott Card,1999,422,713,3.91,27301
"The Order War (The Saga of Recluce, #4)",L.E. Modesitt Jr.,1995,598,690,3.98,8614
"The Legend of Deathwalker (The Drenai Saga, #7)",David Gemmell,1996,376,688,4.34,9086
"The Rowan (The Tower and the Hive, #1)",Anne McCaffrey,1990,336,679,4.05,17740
"The Eye of the Hunter (Mithgar, #8)",Dennis L. McKiernan,1992,603,656,4.0,1601
"The Soprano Sorceress (Spellsong Cycle, #1)",L.E. Modesitt Jr.,1997,672,615,3.69,3852
"The Last of the Renshai (Renshai Trilogy, #1)",Mickey Zucker Reichert,1992,629,614,3.98,2191
Winds of Fate (Mage Winds #1),Mercedes Lackey,1991,460,608,4.07,17271
The Seeress of Kell (The Malloreon #5),David Eddings,1991,374,594,4.14,46042
"Dragon Wing (The Death Gate Cycle, #1)",Margaret Weis,1990,430,581,3.97,28749
"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",R.A. Salvatore,1990,343,571,4.26,91706
"Quest for Lost Heroes (The Drenai Saga, #4)",David Gemmell,1990,291,557,4.13,10060
"Winter Warriors (The Drenai Saga, #8)",David Gemmell,1997,339,547,4.2,7551
"Black Unicorn (Unicorn, #1)",Tanith Lee,1991,144,536,3.91,4254
"Stronghold (Dragon Star, #1)",Melanie Rawn,1991,592,533,4.04,11967
King Rat,China Miéville,1998,320,529,3.56,9595
Dragon Rider,Cornelia Funke,1997,544,524,3.99,83843
"Damia (The Tower and the Hive, #2)",Anne McCaffrey,1991,380,501,4.04,13135
Magic's Promise (The Last Herald-Mage #2),Mercedes Lackey,1990,320,500,4.22,21508
Threshold,Sara Douglass,1997,454,499,4.07,3008
Magic's Price (The Last Herald-Mage #3),Mercedes Lackey,1990,351,496,4.27,21957
"The Cygnet and the Firebird (Cygnet, #2)",Patricia A. McKillip,1993,312,486,3.99,1371
"Mistress of the Empire (The Empire Trilogy, #3)",Raymond E. Feist,1992,676,483,4.35,26881
"Sword in the Storm (The Rigante, #1)",David Gemmell,1998,439,483,4.3,12063
"Mossflower (Redwall, #2)",Brian Jacques,1988,373,479,4.12,69935
"The Death of the Necromancer (Ile-Rien, #2)",Martha Wells,1998,544,474,4.03,4301
"Daggerspell (Deverry, #1)",Katharine Kerr,1986,454,472,3.91,16363
"All the Weyrs of Pern (Pern, #11)",Anne McCaffrey,1991,404,462,4.22,26238
"Someplace to Be Flying (Newford, #5)",Charles de Lint,1998,384,460,4.32,5810
The Black Gryphon (Mage Wars #1),Mercedes Lackey,1994,460,460,4.09,15100
"The Black Swan (Fairy Tales, #2)",Mercedes Lackey,1999,416,454,3.86,8697
The Family Tree,Sheri S. Tepper,1997,496,451,4.03,3168
"In the Realm of the Wolf (The Drenai Saga, #5)",David Gemmell,1992,306,451,4.26,9365
"Five Hundred Years After (Khaavren Romances, #2)",Steven Brust,1994,576,445,4.11,3816
"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Laurell K. Hamilton,1993,355,431,4.02,149375
Stranger at the Wedding (Windrose Chronicles #4),Barbara Hambly,1994,341,414,3.87,1365
"Owlflight (Owl Mage Trilogy, #1)",Mercedes Lackey,1997,342,414,4.02,11370
The Rivan Codex: Ancient Texts of the Belgariad and the Malloreon,David Eddings,1998,480,411,3.6,6544
"Masques (Sianim, #1)",Patricia Briggs,1993,294,406,3.91,12018
"Acorna: The Unicorn Girl (Acorna, #1)",Anne McCaffrey,1997,416,401,3.71,10772
"Oathblood (Valdemar: Vows and Honor, #3)",Mercedes Lackey,1998,400,398,4.07,11146
"First Test (Protector of the Small, #1)",Tamora Pierce,1999,240,389,4.24,61556
Bone Dance,Emma Bull,1991,288,387,3.85,1671
Igraine the Brave,Cornelia Funke,1998,212,384,3.89,9023
The Green Mile,Stephen King,1996,592,381,4.48,327087
"The Broken Crown (The Sun Sword, #1)",Michelle West,1997,768,379,3.94,3168
"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",Laurell K. Hamilton,1994,304,369,4.13,86387
"The Legend of Nightfall (Nightfall, #1)",Mickey Zucker Reichert,1993,496,362,4.05,2455
"Sunrunner's Fire (Dragon Prince, #3)",Melanie Rawn,1990,496,361,4.11,9020
"Martin the Warrior (Redwall, #6)",Brian Jacques,1993,376,358,4.16,43669
Master of Whitestorm,Janny Wurts,1992,400,355,3.91,1306
"Searching for Dragons (Enchanted Forest Chronicles, #2)",Patricia C. Wrede,1991,242,354,4.27,44672
"The Raven Ring (Lyra, #5)",Patricia C. Wrede,1994,348,345,3.95,2430
Tuesday,David Wiesner,1991,32,342,4.17,27120
"The Elvenbane (Halfblood Chronicles, #1)",Andre Norton,1991,566,342,3.96,14978
"Stalking Darkness (Nightrunner, #2)",Lynn Flewelling,1997,501,335,4.26,15804
"Song in the Silence (The Tale of Lanen Kaelar, #1)",Elizabeth Kerner,1996,401,330,3.96,5564
"Traitor's Moon (Nightrunner, #3)",Lynn Flewelling,1999,540,330,4.14,11634
"The Spellsong War (Spellsong Cycle, #2)",L.E. Modesitt Jr.,1998,657,324,3.79,2779
"Tris's Book (Circle of Magic, #2)",Tamora Pierce,1998,251,319,4.11,33178
"A Tapestry of Lions (Chronicles of the Cheysuli, #8)",Jennifer Roberson,1992,544,307,4.13,1523
The Iron Dragon's Daughter,Michael Swanwick,1993,424,299,3.66,4037
"The Druid of Shannara (Heritage of Shannara, #2)",Terry Brooks,1982,471,297,4.04,33087
"The Wayfarer Redemption (Wayfarer Redemption, #1)",Sara Douglass,1995,629,295,3.96,16983
"Dragons of Summer Flame (Dragonlance: The Second Generation, #2)",Margaret Weis,1995,552,292,3.9,17042
"Daja's Book (Circle of Magic, #3)",Tamora Pierce,1998,232,290,4.13,30656
Nobody's Son,Sean Stewart,1993,273,289,3.77,466
"The Legacy (Forgotten Realms: Legacy of the Drow, #1; Legend of Drizzt, #7)",R.A. Salvatore,1992,352,289,4.2,33718
Waking the Moon,Elizabeth Hand,1994,497,287,3.82,2313
"Briar's Book (Circle of Magic, #4)",Tamora Pierce,1999,258,286,4.2,31201
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,2005,652,283,4.58,3338834
"Elfshadow (Forgotten Realms: The Harpers, #2; Songs & Swords, #1)",Elaine Cunningham,1991,312,280,3.86,4070
"The Dragon Token (Dragon Star, #2)",Melanie Rawn,1992,592,278,4.11,6699
A Knot in the Grain and Other Stories,Robin McKinley,1994,,276,3.8,5310
"Circus of the Damned (Anita Blake, Vampire Hunter, #3)",Laurell K. Hamilton,1995,336,275,4.17,95174
Sector 7,David Wiesner,1999,48,272,4.21,5390
"Mattimeo (Redwall, #3)",Brian Jacques,1989,446,272,4.08,35813
"The Keeping Place (The Obernewtyn Chronicles, #4)",Isobelle Carmody,1999,754,269,4.1,5645
"Powers That Be (Petaybee, #1)",Anne McCaffrey,1966,384,269,3.92,6601
"High Wizardry (Young Wizards, #3)",Diane Duane,1990,368,267,4.06,11211
"Cygnet (Cygnet, #1-2)",Patricia A. McKillip,2007,416,266,4.09,607
"The Ruins of Ambrai (Exiles, #1)",Melanie Rawn,1994,928,264,4.07,9178
The Spirit Ring,Lois McMaster Bujold,1992,384,263,3.68,4378
"When Demons Walk (Sianim, #3)",Patricia Briggs,1998,272,262,4.13,6794
"Moonlight and Vines (Newford, #6)",Charles de Lint,1999,384,261,4.21,3101
Fire Bringer,David Clement-Davies,1999,498,254,4.2,13805
"The Soulforge (Dragonlance: Raistlin Chronicles, #1)",Margaret Weis,1997,408,253,4.18,11318
The Wizard's Shadow,Susan Dexter,1993,277,252,3.76,125
"The Witches of Eileanan (The Witches of Eileanan, #1)",Kate Forsyth,1997,411,251,4.03,7209
"Calling on Dragons (Enchanted Forest Chronicles, #3)",Patricia C. Wrede,1993,244,250,4.18,43260
"Ships of Merior (Wars of Light and Shadow, #2)",Janny Wurts,1994,637,249,3.91,3413
"The Fox Woman (Love/War/Death, #1)",Kij Johnson,2000,384,246,3.89,1731
No One Noticed the Cat,Anne McCaffrey,1996,160,246,4.01,3154
The Western Wizard (The Last of the Renshai #2),Mickey Zucker Reichert,1992,640,243,4.06,1370
"Grand Conspiracy (Wars of Light & Shadow #5; Arc 3 - Alliance of Light, #2)",Janny Wurts,1999,656,242,4.13,2462
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,1997,223,240,4.47,10271334
"The Burning Stone (Crown of Stars, #3)",Kate Elliott,1999,801,237,3.85,5347
"To Say Nothing of the Dog (Oxford Time Travel, #2)",Connie Willis,1997,493,237,4.11,41643
